"metro_area","city_name","zip_code_count","total_restaurants","Burger","Chicken","Global","Pizza","Sandwich","Snacks"
"AZ","Tucson",70,518,141,45,60,75,99,98
"CA","Santa Barbara",41,83,17,6,13,11,18,18
"FL","Tampa",218,1313,338,137,132,179,233,294
"ID","Boise",50,214,67,12,31,38,35,31
"IN","Indianapolis",145,866,233,80,113,123,186,131
"LA","New Orleans",152,404,120,71,30,64,65,54
"MO","St Louis",252,925,291,87,112,147,174,114
"NV","Reno",40,247,64,26,37,28,41,51
"PA","Philadelphia",465,1629,404,169,165,201,149,541
"TN","Nashville",117,722,214,81,82,99,139,107
